Date,Open,High,Low,Close,Volume
2023-08-22,112.88831967743629,114.8827440057739,112.36201257256924,114.23640441894531,2439500
2023-08-23,114.89197658255469,116.43396316174618,114.24563701180766,116.12925720214844,2128800
2023-08-24,116.98798256768387,120.9122046504655,116.81255154723438,117.68972778320312,3407300
2023-08-25,116.48014469009843,117.44965414108108,115.2151576412083,116.29547119140625,1865800
2023-08-28,116.89564485599719,117.97595837959614,116.05540335250029,117.40348815917969,1636600
2023-08-29,117.43120048501503,120.43206936952161,116.70175595228953,120.37667083740234,1529100
2023-08-30,119.88729752826738,121.8540299398878,119.88729752826738,121.56779479980469,1617500
2023-08-31,121.5862500866929,122.11256431002634,120.9122111435915,121.6231918334961,2004500
2023-09-01,122.45419321077406,123.16517387300178,121.08764450436637,121.98329162597656,1248300
2023-09-05,121.86326358411256,121.92790460002607,119.88730269509314,120.68138122558594,2268800
2023-09-06,119.98886415013101,121.34618451114437,119.16708640202718,120.01656341552734,1513800
2023-09-07,119.89652943352277,122.05715651563919,119.6195227101149,121.69705200195312,1768300
2023-09-08,121.8724987319712,122.03869432434924,119.94269401142104,120.01656341552734,1462000
2023-09-11,120.79217990250403,121.30000913895879,119.72109472289681,121.05994415283203,1684200
2023-09-12,120.61672991953401,121.78936955925732,120.46899113229216,120.89372253417969,1546600
2023-09-13,120.69060614238359,121.01376890747166,117.76359289454541,118.38224029541016,2822100
2023-09-14,119.81785393085454,121.04838724029993,119.6314133694394,119.771240234375,2176200
2023-09-15,119.54751602892937,120.91787618930786,118.81105661578567,120.02294158935547,5884300
2023-09-18,119.74326530939392,120.91786777916631,118.42884309809097,119.3703842163086,2111100
2023-09-19,118.89494718906865,119.94834975143733,118.04662637542827,118.3822250366211,1673100
2023-09-20,120.26531011785573,120.9458387698862,119.13733551293305,119.3890380859375,1689300
2023-09-21,118.08393483033636,118.19580343941264,115.42711759697842,115.53898620605469,2016400
2023-09-22,115.96779633857675,117.86019571251153,114.56014667573682,114.88642120361328,2019000
2023-09-25,114.51352849646376,115.55761405703356,114.11268202952066,115.22201538085938,1218100
2023-09-26,114.31777078346127,114.33641910675165,111.41857527768396,111.68891906738281,1721900
2023-09-27,112.285530871879,112.4160406783273,108.52869763143634,108.92022705078125,3216500
2023-09-28,108.60328133472568,110.66348006709023,108.51006105645945,110.5050048828125,2261800
2023-09-29,113.72114612971936,114.83048659946023,111.82874681939741,112.81689453125,2266100
2023-10-02,112.1923152184581,113.29233156972234,108.8363354202414,110.20669555664062,2210700
2023-10-03,109.41431044911151,110.17872809483136,106.90664447530747,107.34478759765625,2668200
2023-10-04,108.21174592311144,109.71261579074792,106.87867539198868,109.59142303466797,1935900
2023-10-05,109.59143689498654,109.93635977262446,107.90412626771436,109.7219467163086,1552800
2023-10-06,108.3329240042434,110.21600610613456,106.73883397477145,109.41429901123047,1738000
2023-10-09,108.3609035898,111.34400229847857,107.7269957365278,110.98043823242188,1409400
2023-10-10,110.47703402260002,114.02877836754509,110.47703402260002,112.28553009033203,1706300
2023-10-11,113.72114739079231,116.05168984062882,113.54403100093549,115.98643493652344,2226700
2023-10-12,115.98644048280129,117.06781564511552,114.8025279910621,116.00508880615234,2268600
2023-10-13,116.34067644825905,117.33814828520806,113.63724591162827,114.289794921875,1472100
2023-10-16,115.11014749588536,116.22880494609197,113.82368360467208,115.33387756347656,1112100
2023-10-17,114.2152257187181,115.88389503152645,113.15249888901356,114.93303680419922,1485100
2023-10-18,113.61861062370996,114.14065700404423,112.32282950311077,112.3880844116211,1189400
2023-10-19,111.75417284678633,112.21096430352263,107.73631980067626,107.80157470703125,2238100
2023-10-20,107.81089384422997,109.49820428152556,107.31681998881753,107.96004486083984,1559300
2023-10-23,107.17699233683678,110.83128136225788,106.21680994052858,109.47024536132812,2282500
